[2026-05-11T21:26:55.603Z] GET http://localhost:3002/login?_rsc=1kcrr → 200 (60ms, 5782B)
[2026-05-11T21:26:55.603Z] GET http://localhost:3002/r/demo-barber?_rsc=1kcrr → 200 (60ms, 134B)
[2026-05-11T21:26:55.676Z] GET http://localhost:3002/_next/static/chunks/app/page-1ab1e862876b81ec.js → 200 (?ms, 7359B)
[2026-05-11T21:26:55.694Z] GET http://localhost:3002/_next/static/chunks/44530001-843f7204a6f30302.js → 200 (?ms, 60246B)
[2026-05-11T21:26:55.694Z] GET http://localhost:3002/_next/static/chunks/5069-499147e04af018fb.js → 200 (2ms, 172613B)
[2026-05-11T21:26:55.696Z] GET http://localhost:3002/_next/static/chunks/2990-45d32f3a32cc9347.js → 200 (?ms, 15136B)
[2026-05-11T21:26:55.697Z] GET http://localhost:3002/_next/static/chunks/app/login/page-edfcc960de60ec4c.js → 200 (?ms, 8044B)
[2026-05-11T21:26:55.836Z] GET https://b.basemaps.cartocdn.com/light_all/15/16581/12238.png → 200 (10ms, 33898B)
[2026-05-11T21:26:55.838Z] GET https://c.basemaps.cartocdn.com/light_all/15/16581/12239.png → 200 (8ms, 31691B)
[2026-05-11T21:26:55.838Z] GET https://a.basemaps.cartocdn.com/light_all/15/16580/12238.png → 200 (9ms, 22559B)
[2026-05-11T21:26:55.838Z] GET https://c.basemaps.cartocdn.com/light_all/15/16582/12238.png → 200 (35ms, 33291B)
[2026-05-11T21:26:55.838Z] GET https://b.basemaps.cartocdn.com/light_all/15/16580/12239.png → 200 (35ms, 23021B)
[2026-05-11T21:26:55.838Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12237.png → 200 (37ms, 29094B)
[2026-05-11T21:26:55.838Z] GET https://a.basemaps.cartocdn.com/light_all/15/16582/12239.png → 200 (38ms, 32654B)
[2026-05-11T21:26:55.839Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12237.png → 200 (39ms, 30573B)
[2026-05-11T21:26:55.839Z] GET https://b.basemaps.cartocdn.com/light_all/15/16582/12237.png → 200 (41ms, 27790B)
[2026-05-11T21:26:55.839Z] GET https://a.basemaps.cartocdn.com/light_all/15/16581/12240.png → 200 (41ms, 30872B)
[2026-05-11T21:26:55.839Z] GET https://c.basemaps.cartocdn.com/light_all/15/16579/12238.png → 200 (42ms, 22815B)
[2026-05-11T21:26:55.839Z] GET https://c.basemaps.cartocdn.com/light_all/15/16580/12240.png → 200 (42ms, 29639B)
[2026-05-11T21:26:55.839Z] GET https://a.basemaps.cartocdn.com/light_all/15/16579/12239.png → 200 (42ms, 24268B)
